SUPPLIER_NAME,SUPPLIER_ID,SUPPLIER_POSTCODE,SUPPLIER_COUNTRY,NUM_SUPPLIERS,CONTRACT_BUYER,CONTRACT_BUYER_POSTCODE,CONTRACT_TITLE,CONTRACT_DATE,CONTRACT_DESC,CONTRACT_URL,CONTRACT_VALUE,CONTRACT_CURRENCY
Martindale,,CM14 4LZ,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Medac Pharma LLP,,FK9 4NF,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Merck Sharp and Dohme Ltd,,EN11 9BU,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Mercury Pharmaceuticals Ltd,,EC4N 7BL,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Morningside Pharmaceuticals Ltd,,LE11 5GW,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Mylan,,AL10 9UL,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Neon Healthcare Ltd,,SG12 9PY,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Novartis Pharmaceuticals UK Ltd,,GU16 7SR,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Pfizer Ltd,,KT20 7NS,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Phoenix Labs,,,IE,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Ranbaxy UK Ltd (Sun Pharma),,UB3 4AZ,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Relonchem Ltd,,WA8 0RP,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Rivopharm UK Ltd,,E14 5NR,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Roche Products Ltd,,AL7 1TW,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Selective Supplies,,RH16 1LE,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Teva UK Ltd,,WF10 5HX,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Theramex,,SW1W 8NS,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Thornton and Ross Ltd,,HD7 5QH,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Torrent Pharmaceuticals,,RH11 7XA,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Upjohn UK Ltd,,CT13 9NJ,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Waverley Pharma Europe Ltd,,,IE,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Wockhardt UK Ltd,,LL13 9UF,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Zentiva Pharma UK Ltd,,GU1 4YS,UK,46,"Velindre NHS Trust, NHS Wales Shared Services Partnership — Procurement Services",CF14 3BU,Generic Drugs — Tablets and Capsules,20200107,Generic drugs — tablets and capsules.,http://ted.europa.eu/udl?uri=TED:NOTICE:004451-2020:TEXT:EN:HTML,15868066.64,GBP
Shire Pharmaceuticals Ltd,,W2 6BD,UK,1,The NHS Commissioning Board (Operating under the name of NHS England),WA7 2ES,National Framework Agreement for the Supply of Lanadelumab,20200107,"NHS national framework agreement for the supply of Lanadelumab. The framework may also be used by private sector contractors and agents working on behalf of the above. The framework agreement will commence on 1.1.2020 for a period of 12 months, with options to extend for a further 36 months. Please refer to the invitation to offer documents for the list of purchasing points.",http://ted.europa.eu/udl?uri=TED:NOTICE:004452-2020:TEXT:EN:HTML,4844000.00,GBP
Monks Contractors Ltd,,BB2 7LB,UK,1,Lancashire County Council,PR1 8XJ,Lease of a Waste Transport Fleet and Associated Services,20200107,Lancashire County Council is seeking tenders for the provision of lease and maintenance services as detailed in the tender documentation.,http://ted.europa.eu/udl?uri=TED:NOTICE:004992-2020:TEXT:EN:HTML,7878000.00,GBP
Metroline West Ltd,,,UK,1,London Bus Services Ltd,SE1 8NJ,Provision of Bus Service — Route 331,20200107,"Provision of Bus Service Route 331 for 5 years with a provision of a 2 year extension depending on performance. Please note, costs posted on OJEU sometimes differ from those on the internet, this is due to post award negotiations.",http://ted.europa.eu/udl?uri=TED:NOTICE:005116-2020:TEXT:EN:HTML,1832000.00,GBP
Veolia ES (UK) Ltd,,WS11 8JP,UK,1,"Ministry of Defence, IMOC, Defence Equipment Sales Authority (DESA)",OX25 2LD,The Collection and Disposal of Hazardous and Clinical Waste from MOD sites within Great Britain and N.I.,20200107,"DESA is currently looking to place a contract for waste management services to cover the collection, storage and disposal of hazardous and clinical waste at all Ministry of Defence (MOD) locations throughout the United Kingdom.",http://ted.europa.eu/udl?uri=TED:NOTICE:005118-2020:TEXT:EN:HTML,9000000,GBP
Churchill Contract Services Ltd,,AL5 4UN,UK,1,Scottish Police Authority,G51 1DZ,PROC342 — Provision of Soft FM Management Services,20200107,The Scottish Police Authority wishes to appoint a single supplier to provide cleaning and janitorial services as part of a soft facilities,http://ted.europa.eu/udl?uri=TED:NOTICE:005120-2020:TEXT:EN:HTML,17610351,GBP
Tower Transit Operations Ltd,,,UK,1,London Bus Services Ltd,SE1 8NJ,Provision of Bus Service — Route C3,20200107,"Provision of bus service Route C3 for 5 years with a provision of a 2 year extension depending on performance. Please note, costs posted on OJEU sometimes differ from those on the internet, this is due to post award negotiations.",http://ted.europa.eu/udl?uri=TED:NOTICE:005121-2020:TEXT:EN:HTML,2405052.00,GBP
Metroline Travel Ltd,,,UK,1,London Bus Services Ltd,SE1 8NJ,Provision of Bus Service — Route 460,20200107,"Provision of bus service Route 460 for 5 years with a provision of a 2 year extension depending on performance. Please note, costs posted on OJEU sometimes differ from those on the internet, this is due to post award negotiations.",http://ted.europa.eu/udl?uri=TED:NOTICE:005124-2020:TEXT:EN:HTML,2345500.00,GBP
London United Busways Ltd,,,UK,1,London Bus Services Ltd,SE1 8NJ,Provision of Bus Service — Route K1,20200107,"Provision of bus service Route K1 for 5 years with a provision of a 2 year extension depending on performance. Please note, costs posted on OJEU sometimes differ from those on the internet, this is due to post award negotiations.",http://ted.europa.eu/udl?uri=TED:NOTICE:005126-2020:TEXT:EN:HTML,2958862.00,GBP
London Sovereign Ltd,,,UK,1,London Bus Services Ltd,SE1 8NJ,Provision of Bus Service — Route 326,20200107,"Provision of bus service Route 326 for 5 years with a provision of a 2 year extension depending on performance. Please note, costs posted on OJEU sometimes differ from those on the internet, this is due to post award negotiations.",http://ted.europa.eu/udl?uri=TED:NOTICE:005127-2020:TEXT:EN:HTML,3270000.00,GBP
East London Bus and Coach Company Ltd,,,UK,1,London Bus Services Ltd,SE1 8NJ,Provision of Bus Service — Route 499,20200107,"Provision of bus service Route 499 for 5 years with a provision of a 2 year extension depending on performance. Please note, costs posted on OJEU sometimes differ from those on the internet, this is due to post award negotiations.",http://ted.europa.eu/udl?uri=TED:NOTICE:005130-2020:TEXT:EN:HTML,1564780.00,GBP
Aspen Healthcare,,,UK,8,NHS England South (National),,"Procurement for the Provision of Gender Dysphoria Surgical Services to NHS England, NHS Scotland and NHS Wales",20200107,"NHS England and NHS Scotland seek bids from providers who have the capability and capacity to deliver gender dysphoria surgical services. Services being procured are chest surgery (trans masculine), genital surgery (trans feminine) and genital surgery (trans masculine).",http://ted.europa.eu/udl?uri=TED:NOTICE:005133-2020:TEXT:EN:HTML,107100000.00,EUR
St Peter's Andrology Centre,,,UK,8,NHS England South (National),,"Procurement for the Provision of Gender Dysphoria Surgical Services to NHS England, NHS Scotland and NHS Wales",20200107,"NHS England and NHS Scotland seek bids from providers who have the capability and capacity to deliver gender dysphoria surgical services. Services being procured are chest surgery (trans masculine), genital surgery (trans feminine) and genital surgery (trans masculine).",http://ted.europa.eu/udl?uri=TED:NOTICE:005133-2020:TEXT:EN:HTML,107100000.00,EUR
Hull University Teaching Hospitals NHS Trust,,,UK,8,NHS England South (National),,"Procurement for the Provision of Gender Dysphoria Surgical Services to NHS England, NHS Scotland and NHS Wales",20200107,"NHS England and NHS Scotland seek bids from providers who have the capability and capacity to deliver gender dysphoria surgical services. Services being procured are chest surgery (trans masculine), genital surgery (trans feminine) and genital surgery (trans masculine).",http://ted.europa.eu/udl?uri=TED:NOTICE:005133-2020:TEXT:EN:HTML,107100000.00,EUR
Nuffield Health,,,UK,8,NHS England South (National),,"Procurement for the Provision of Gender Dysphoria Surgical Services to NHS England, NHS Scotland and NHS Wales",20200107,"NHS England and NHS Scotland seek bids from providers who have the capability and capacity to deliver gender dysphoria surgical services. Services being procured are chest surgery (trans masculine), genital surgery (trans feminine) and genital surgery (trans masculine).",http://ted.europa.eu/udl?uri=TED:NOTICE:005133-2020:TEXT:EN:HTML,107100000.00,EUR
Ramsay Healthcare,,,UK,8,NHS England South (National),,"Procurement for the Provision of Gender Dysphoria Surgical Services to NHS England, NHS Scotland and NHS Wales",20200107,"NHS England and NHS Scotland seek bids from providers who have the capability and capacity to deliver gender dysphoria surgical services. Services being procured are chest surgery (trans masculine), genital surgery (trans feminine) and genital surgery (trans masculine).",http://ted.europa.eu/udl?uri=TED:NOTICE:005133-2020:TEXT:EN:HTML,107100000.00,EUR
